user_id,product_id,action,timestamp,product_name,category,price,converted
U229,P0101,view,2024-01-01 00:33:00,Do gia dung Kangaroo,Home,320000,0
U229,P0067,view,2024-01-01 00:37:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U039,P0089,view,2024-01-01 00:42:00,Giay the thao Nike Air Max,Fashion,650000,0
U085,P0023,add_to_cart,2024-01-01 00:43:00,Laptop Dell XPS 15,Electronics,28990000,1
U457,P0067,click,2024-01-01 01:00:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U191,P0023,click,2024-01-01 01:01:00,Laptop Dell XPS 15,Electronics,28990000,0
U102,P0023,view,2024-01-01 01:42:00,Laptop Dell XPS 15,Electronics,28990000,0
U322,P0089,purchase,2024-01-01 02:28:00,Giay the thao Nike Air Max,Fashion,650000,1
U404,P0067,add_to_cart,2024-01-01 02:31:00,Tai nghe Sony WH-1000XM5,Electronics,800000,1
U287,P0067,view,2024-01-01 03:15:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U430,P0101,view,2024-01-01 03:17:00,Do gia dung Kangaroo,Home,320000,0
U267,P0045,purchase,2024-01-01 03:17:00,Dien thoai Samsung S24,Electronics,5500000,1
U257,P0089,click,2024-01-01 03:26:00,Giay the thao Nike Air Max,Fashion,650000,0
U302,P0045,add_to_cart,2024-01-01 03:33:00,Dien thoai Samsung S24,Electronics,5500000,1
U451,P0023,view,2024-01-01 03:41:00,Laptop Dell XPS 15,Electronics,28990000,0
U463,P0023,view,2024-01-01 03:42:00,Laptop Dell XPS 15,Electronics,28990000,0
U337,P0023,view,2024-01-01 03:58:00,Laptop Dell XPS 15,Electronics,28990000,0
U071,P0089,view,2024-01-01 04:16:00,Giay the thao Nike Air Max,Fashion,650000,0
U181,P0089,view,2024-01-01 04:23:00,Giay the thao Nike Air Max,Fashion,650000,0
U101,P0023,wishlist,2024-01-01 04:49:00,Laptop Dell XPS 15,Electronics,28990000,0
U378,P0023,add_to_cart,2024-01-01 05:10:00,Laptop Dell XPS 15,Electronics,28990000,1
U239,P0045,view,2024-01-01 05:15:00,Dien thoai Samsung S24,Electronics,5500000,0
U404,P0045,review,2024-01-01 05:20:00,Dien thoai Samsung S24,Electronics,5500000,1
U111,P0101,click,2024-01-01 05:33:00,Do gia dung Kangaroo,Home,320000,0
U325,P0067,view,2024-01-01 05:39:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U067,P0089,view,2024-01-01 05:59:00,Giay the thao Nike Air Max,Fashion,650000,0
U269,P0089,add_to_cart,2024-01-01 05:59:00,Giay the thao Nike Air Max,Fashion,650000,1
U279,P0101,wishlist,2024-01-01 06:00:00,Do gia dung Kangaroo,Home,320000,0
U366,P0089,click,2024-01-01 07:01:00,Giay the thao Nike Air Max,Fashion,650000,0
U497,P0067,view,2024-01-01 07:07:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U351,P0023,wishlist,2024-01-01 07:33:00,Laptop Dell XPS 15,Electronics,28990000,0
U323,P0067,click,2024-01-01 07:38:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U144,P0023,review,2024-01-01 07:42:00,Laptop Dell XPS 15,Electronics,28990000,1
U492,P0045,click,2024-01-01 07:53:00,Dien thoai Samsung S24,Electronics,5500000,0
U180,P0045,purchase,2024-01-01 08:23:00,Dien thoai Samsung S24,Electronics,5500000,1
U327,P0045,view,2024-01-01 08:23:00,Dien thoai Samsung S24,Electronics,5500000,0
U171,P0101,wishlist,2024-01-01 08:40:00,Do gia dung Kangaroo,Home,320000,0
U135,P0101,purchase,2024-01-01 08:48:00,Do gia dung Kangaroo,Home,320000,1
U485,P0045,view,2024-01-01 08:54:00,Dien thoai Samsung S24,Electronics,5500000,0
U154,P0101,view,2024-01-01 08:59:00,Do gia dung Kangaroo,Home,320000,0
U249,P0067,purchase,2024-01-01 09:15:00,Tai nghe Sony WH-1000XM5,Electronics,800000,1
U489,P0045,click,2024-01-01 09:21:00,Dien thoai Samsung S24,Electronics,5500000,0
U295,P0101,add_to_cart,2024-01-01 09:41:00,Do gia dung Kangaroo,Home,320000,1
U289,P0045,add_to_cart,2024-01-01 09:43:00,Dien thoai Samsung S24,Electronics,5500000,1
U395,P0045,add_to_cart,2024-01-01 09:45:00,Dien thoai Samsung S24,Electronics,5500000,1
U240,P0045,add_to_cart,2024-01-01 09:49:00,Dien thoai Samsung S24,Electronics,5500000,1
U368,P0101,click,2024-01-01 09:51:00,Do gia dung Kangaroo,Home,320000,0
U151,P0045,view,2024-01-01 10:22:00,Dien thoai Samsung S24,Electronics,5500000,0
U443,P0067,view,2024-01-01 10:47:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U328,P0023,view,2024-01-01 10:52:00,Laptop Dell XPS 15,Electronics,28990000,0
U166,P0067,click,2024-01-01 10:55:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U088,P0045,purchase,2024-01-01 11:00:00,Dien thoai Samsung S24,Electronics,5500000,1
U245,P0101,click,2024-01-01 11:16:00,Do gia dung Kangaroo,Home,320000,0
U231,P0023,view,2024-01-01 11:31:00,Laptop Dell XPS 15,Electronics,28990000,0
U372,P0067,view,2024-01-01 11:57:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U406,P0045,wishlist,2024-01-01 12:40:00,Dien thoai Samsung S24,Electronics,5500000,0
U245,P0089,click,2024-01-01 12:40:00,Giay the thao Nike Air Max,Fashion,650000,0
U178,P0067,add_to_cart,2024-01-01 12:41:00,Tai nghe Sony WH-1000XM5,Electronics,800000,1
U065,P0023,click,2024-01-01 12:44:00,Laptop Dell XPS 15,Electronics,28990000,0
U110,P0089,add_to_cart,2024-01-01 13:02:00,Giay the thao Nike Air Max,Fashion,650000,1
U164,P0089,view,2024-01-01 13:03:00,Giay the thao Nike Air Max,Fashion,650000,0
U463,P0067,view,2024-01-01 13:04:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U272,P0101,view,2024-01-01 13:18:00,Do gia dung Kangaroo,Home,320000,0
U308,P0101,add_to_cart,2024-01-01 13:23:00,Do gia dung Kangaroo,Home,320000,1
U272,P0067,view,2024-01-01 13:38:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U442,P0023,click,2024-01-01 13:44:00,Laptop Dell XPS 15,Electronics,28990000,0
U239,P0101,click,2024-01-01 13:47:00,Do gia dung Kangaroo,Home,320000,0
U413,P0045,purchase,2024-01-01 13:50:00,Dien thoai Samsung S24,Electronics,5500000,1
U256,P0067,click,2024-01-01 13:53:00,Tai nghe Sony WH-1000XM5,Electronics,800000,0
U478,P0101,view,2024-01-01 13:56:00,Do gia dung Kangaroo,Home,320000,0
U428,P0089,purchase,2024-01-01 14:07:00,Giay the thao Nike Air Max,Fashion,650000,1
U424,P0089,click,2024-01-01 14:08:00,Giay the thao Nike Air Max,Fashion,650000,0
U282,P0101,share,2024-01-01 14:18:00,Do gia dung Kangaroo,Home,320000,0
U083,P0089,view,2024-01-01 14:21:00,Giay the thao Nike Air Max,Fashion,650000,0
U196,P0045,share,2024-01-01 14:34:00,Dien thoai Samsung S24,Electronics,5500000,0
U085,P0101,click,2024-01-01 14:53:00,Do gia dung Kangaroo,Home,320000,0
U233,P0089,click,2024-01-01 15:08:00,Giay the thao Nike Air Max,Fashion,650000,0
U162,P0045,return,2024-01-01 15:11:00,Dien thoai Samsung S24,Electronics,5500000,0
U329,P0101,view,2024-01-01 15:15:00,Do gia dung Kangaroo,Home,320000,0
